fullname,permanentNumber,code,Constructors,points,wins
Kimi Räikkönen,7,RAI,Alfa Romeo,1,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
George Russell,63,RUS,Williams,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Max Verstappen,33,VER,Red Bull,131,3
Lewis Hamilton,44,HAM,Mercedes,119,3
Sergio Pérez,11,PER,Red Bull,84,1
Lando Norris,4,NOR,McLaren,76,0
Valtteri Bottas,77,BOT,Mercedes,59,0
Charles Leclerc,16,LEC,Ferrari,52,0
Carlos Sainz,55,SAI,Ferrari,42,0
Pierre Gasly,10,GAS,AlphaTauri,37,0
Daniel Ricciardo,3,RIC,McLaren,34,0
Sebastian Vettel,5,VET,Aston Martin,30,0
Fernando Alonso,14,ALO,Alpine F1 Team,17,0
Esteban Ocon,31,OCO,Alpine F1 Team,12,0
Lance Stroll,18,STR,Aston Martin,10,0
Yuki Tsunoda,22,TSU,AlphaTauri,8,0
Kimi Räikkönen,7,RAI,Alfa Romeo,1,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
George Russell,63,RUS,Williams,0,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Max Verstappen,33,VER,Red Bull,156,4
Lewis Hamilton,44,HAM,Mercedes,138,3
Sergio Pérez,11,PER,Red Bull,96,1
Lando Norris,4,NOR,McLaren,86,0
Valtteri Bottas,77,BOT,Mercedes,74,0
Charles Leclerc,16,LEC,Ferrari,58,0
Carlos Sainz,55,SAI,Ferrari,50,0
Pierre Gasly,10,GAS,AlphaTauri,37,0
Daniel Ricciardo,3,RIC,McLaren,34,0
Sebastian Vettel,5,VET,Aston Martin,30,0
Fernando Alonso,14,ALO,Alpine F1 Team,19,0
Lance Stroll,18,STR,Aston Martin,14,0
Esteban Ocon,31,OCO,Alpine F1 Team,12,0
Yuki Tsunoda,22,TSU,AlphaTauri,9,0
Kimi Räikkönen,7,RAI,Alfa Romeo,1,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
George Russell,63,RUS,Williams,0,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Max Verstappen,33,VER,Red Bull,182,5
Lewis Hamilton,44,HAM,Mercedes,150,3
Sergio Pérez,11,PER,Red Bull,104,1
Lando Norris,4,NOR,McLaren,101,0
Valtteri Bottas,77,BOT,Mercedes,92,0
Charles Leclerc,16,LEC,Ferrari,62,0
Carlos Sainz,55,SAI,Ferrari,60,0
Daniel Ricciardo,3,RIC,McLaren,40,0
Pierre Gasly,10,GAS,AlphaTauri,39,0
Sebastian Vettel,5,VET,Aston Martin,30,0
Fernando Alonso,14,ALO,Alpine F1 Team,20,0
Lance Stroll,18,STR,Aston Martin,14,0
Esteban Ocon,31,OCO,Alpine F1 Team,12,0
Yuki Tsunoda,22,TSU,AlphaTauri,9,0
Kimi Räikkönen,7,RAI,Alfa Romeo,1,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
George Russell,63,RUS,Williams,0,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Max Verstappen,33,VER,Red Bull,185,5
Lewis Hamilton,44,HAM,Mercedes,177,4
Lando Norris,4,NOR,McLaren,113,0
Valtteri Bottas,77,BOT,Mercedes,108,0
Sergio Pérez,11,PER,Red Bull,104,1
Charles Leclerc,16,LEC,Ferrari,80,0
Carlos Sainz,55,SAI,Ferrari,68,0
Daniel Ricciardo,3,RIC,McLaren,50,0
Pierre Gasly,10,GAS,AlphaTauri,39,0
Sebastian Vettel,5,VET,Aston Martin,30,0
Fernando Alonso,14,ALO,Alpine F1 Team,26,0
Lance Stroll,18,STR,Aston Martin,18,0
Esteban Ocon,31,OCO,Alpine F1 Team,14,0
Yuki Tsunoda,22,TSU,AlphaTauri,10,0
Kimi Räikkönen,7,RAI,Alfa Romeo,1,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
George Russell,63,RUS,Williams,0,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,195,4
Max Verstappen,33,VER,Red Bull,187,5
Lando Norris,4,NOR,McLaren,113,0
Valtteri Bottas,77,BOT,Mercedes,108,0
Sergio Pérez,11,PER,Red Bull,104,1
Carlos Sainz,55,SAI,Ferrari,83,0
Charles Leclerc,16,LEC,Ferrari,80,0
Pierre Gasly,10,GAS,AlphaTauri,50,0
Daniel Ricciardo,3,RIC,McLaren,50,0
Esteban Ocon,31,OCO,Alpine F1 Team,39,1
Fernando Alonso,14,ALO,Alpine F1 Team,38,0
Sebastian Vettel,5,VET,Aston Martin,30,0
Yuki Tsunoda,22,TSU,AlphaTauri,18,0
Lance Stroll,18,STR,Aston Martin,18,0
Nicholas Latifi,6,LAT,Williams,6,0
George Russell,63,RUS,Williams,4,0
Kimi Räikkönen,7,RAI,Alfa Romeo,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,202.5,4
Max Verstappen,33,VER,Red Bull,199.5,6
Lando Norris,4,NOR,McLaren,113,0
Valtteri Bottas,77,BOT,Mercedes,108,0
Sergio Pérez,11,PER,Red Bull,104,1
Carlos Sainz,55,SAI,Ferrari,83.5,0
Charles Leclerc,16,LEC,Ferrari,82,0
Daniel Ricciardo,3,RIC,McLaren,56,0
Pierre Gasly,10,GAS,AlphaTauri,54,0
Esteban Ocon,31,OCO,Alpine F1 Team,42,1
Fernando Alonso,14,ALO,Alpine F1 Team,38,0
Sebastian Vettel,5,VET,Aston Martin,35,0
Yuki Tsunoda,22,TSU,AlphaTauri,18,0
Lance Stroll,18,STR,Aston Martin,18,0
George Russell,63,RUS,Williams,13,0
Nicholas Latifi,6,LAT,Williams,7,0
Kimi Räikkönen,7,RAI,Alfa Romeo,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,224.5,7
Lewis Hamilton,44,HAM,Mercedes,221.5,4
Valtteri Bottas,77,BOT,Mercedes,123,0
Lando Norris,4,NOR,McLaren,114,0
Sergio Pérez,11,PER,Red Bull,108,1
Charles Leclerc,16,LEC,Ferrari,92,0
Carlos Sainz,55,SAI,Ferrari,89.5,0
Pierre Gasly,10,GAS,AlphaTauri,66,0
Daniel Ricciardo,3,RIC,McLaren,56,0
Fernando Alonso,14,ALO,Alpine F1 Team,46,0
Esteban Ocon,31,OCO,Alpine F1 Team,44,1
Sebastian Vettel,5,VET,Aston Martin,35,0
Yuki Tsunoda,22,TSU,AlphaTauri,18,0
Lance Stroll,18,STR,Aston Martin,18,0
George Russell,63,RUS,Williams,13,0
Nicholas Latifi,6,LAT,Williams,7,0
Kimi Räikkönen,7,RAI,Alfa Romeo,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Max Verstappen,33,VER,Red Bull,226.5,7
Lewis Hamilton,44,HAM,Mercedes,221.5,4
Valtteri Bottas,77,BOT,Mercedes,141,0
Lando Norris,4,NOR,McLaren,132,0
Sergio Pérez,11,PER,Red Bull,118,1
Charles Leclerc,16,LEC,Ferrari,104,0
Carlos Sainz,55,SAI,Ferrari,97.5,0
Daniel Ricciardo,3,RIC,McLaren,83,1
Pierre Gasly,10,GAS,AlphaTauri,66,0
Fernando Alonso,14,ALO,Alpine F1 Team,50,0
Esteban Ocon,31,OCO,Alpine F1 Team,45,1
Sebastian Vettel,5,VET,Aston Martin,35,0
Lance Stroll,18,STR,Aston Martin,24,0
Yuki Tsunoda,22,TSU,AlphaTauri,18,0
George Russell,63,RUS,Williams,15,0
Nicholas Latifi,6,LAT,Williams,7,0
Kimi Räikkönen,7,RAI,Alfa Romeo,2,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Lewis Hamilton,44,HAM,Mercedes,246.5,5
Max Verstappen,33,VER,Red Bull,244.5,7
Valtteri Bottas,77,BOT,Mercedes,151,0
Lando Norris,4,NOR,McLaren,139,0
Sergio Pérez,11,PER,Red Bull,120,1
Carlos Sainz,55,SAI,Ferrari,112.5,0
Charles Leclerc,16,LEC,Ferrari,104,0
Daniel Ricciardo,3,RIC,McLaren,95,1
Pierre Gasly,10,GAS,AlphaTauri,66,0
Fernando Alonso,14,ALO,Alpine F1 Team,58,0
Esteban Ocon,31,OCO,Alpine F1 Team,45,1
Sebastian Vettel,5,VET,Aston Martin,35,0
Lance Stroll,18,STR,Aston Martin,24,0
Yuki Tsunoda,22,TSU,AlphaTauri,18,0
George Russell,63,RUS,Williams,16,0
Nicholas Latifi,6,LAT,Williams,7,0
Kimi Räikkönen,7,RAI,Alfa Romeo,6,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,262.5,7
Lewis Hamilton,44,HAM,Mercedes,256.5,5
Valtteri Bottas,77,BOT,Mercedes,177,1
Lando Norris,4,NOR,McLaren,145,0
Sergio Pérez,11,PER,Red Bull,135,1
Carlos Sainz,55,SAI,Ferrari,116.5,0
Charles Leclerc,16,LEC,Ferrari,116,0
Daniel Ricciardo,3,RIC,McLaren,95,1
Pierre Gasly,10,GAS,AlphaTauri,74,0
Fernando Alonso,14,ALO,Alpine F1 Team,58,0
Esteban Ocon,31,OCO,Alpine F1 Team,46,1
Sebastian Vettel,5,VET,Aston Martin,35,0
Lance Stroll,18,STR,Aston Martin,26,0
Yuki Tsunoda,22,TSU,AlphaTauri,18,0
George Russell,63,RUS,Williams,16,0
Nicholas Latifi,6,LAT,Williams,7,0
Kimi Räikkönen,7,RAI,Alfa Romeo,6,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,287.5,8
Lewis Hamilton,44,HAM,Mercedes,275.5,5
Valtteri Bottas,77,BOT,Mercedes,185,1
Sergio Pérez,11,PER,Red Bull,150,1
Lando Norris,4,NOR,McLaren,149,0
Charles Leclerc,16,LEC,Ferrari,128,0
Carlos Sainz,55,SAI,Ferrari,122.5,0
Daniel Ricciardo,3,RIC,McLaren,105,1
Pierre Gasly,10,GAS,AlphaTauri,74,0
Fernando Alonso,14,ALO,Alpine F1 Team,58,0
Esteban Ocon,31,OCO,Alpine F1 Team,46,1
Sebastian Vettel,5,VET,Aston Martin,36,0
Lance Stroll,18,STR,Aston Martin,26,0
Yuki Tsunoda,22,TSU,AlphaTauri,20,0
George Russell,63,RUS,Williams,16,0
Nicholas Latifi,6,LAT,Williams,7,0
Kimi Räikkönen,7,RAI,Alfa Romeo,6,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,312.5,9
Lewis Hamilton,44,HAM,Mercedes,293.5,5
Valtteri Bottas,77,BOT,Mercedes,185,1
Sergio Pérez,11,PER,Red Bull,165,1
Lando Norris,4,NOR,McLaren,150,0
Charles Leclerc,16,LEC,Ferrari,138,0
Carlos Sainz,55,SAI,Ferrari,130.5,0
Daniel Ricciardo,3,RIC,McLaren,105,1
Pierre Gasly,10,GAS,AlphaTauri,86,0
Fernando Alonso,14,ALO,Alpine F1 Team,60,0
Esteban Ocon,31,OCO,Alpine F1 Team,46,1
Sebastian Vettel,5,VET,Aston Martin,42,0
Lance Stroll,18,STR,Aston Martin,26,0
Yuki Tsunoda,22,TSU,AlphaTauri,20,0
George Russell,63,RUS,Williams,16,0
Kimi Räikkönen,7,RAI,Alfa Romeo,10,0
Nicholas Latifi,6,LAT,Williams,7,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,332.5,9
Lewis Hamilton,44,HAM,Mercedes,318.5,6
Valtteri Bottas,77,BOT,Mercedes,203,1
Sergio Pérez,11,PER,Red Bull,178,1
Lando Norris,4,NOR,McLaren,151,0
Charles Leclerc,16,LEC,Ferrari,148,0
Carlos Sainz,55,SAI,Ferrari,139.5,0
Daniel Ricciardo,3,RIC,McLaren,105,1
Pierre Gasly,10,GAS,AlphaTauri,92,0
Fernando Alonso,14,ALO,Alpine F1 Team,62,0
Esteban Ocon,31,OCO,Alpine F1 Team,50,1
Sebastian Vettel,5,VET,Aston Martin,42,0
Lance Stroll,18,STR,Aston Martin,26,0
Yuki Tsunoda,22,TSU,AlphaTauri,20,0
George Russell,63,RUS,Williams,16,0
Kimi Räikkönen,7,RAI,Alfa Romeo,10,0
Nicholas Latifi,6,LAT,Williams,7,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,351.5,9
Lewis Hamilton,44,HAM,Mercedes,343.5,7
Valtteri Bottas,77,BOT,Mercedes,203,1
Sergio Pérez,11,PER,Red Bull,190,1
Lando Norris,4,NOR,McLaren,153,0
Charles Leclerc,16,LEC,Ferrari,152,0
Carlos Sainz,55,SAI,Ferrari,145.5,0
Daniel Ricciardo,3,RIC,McLaren,105,1
Pierre Gasly,10,GAS,AlphaTauri,92,0
Fernando Alonso,14,ALO,Alpine F1 Team,77,0
Esteban Ocon,31,OCO,Alpine F1 Team,60,1
Sebastian Vettel,5,VET,Aston Martin,43,0
Lance Stroll,18,STR,Aston Martin,34,0
Yuki Tsunoda,22,TSU,AlphaTauri,20,0
George Russell,63,RUS,Williams,16,0
Kimi Räikkönen,7,RAI,Alfa Romeo,10,0
Nicholas Latifi,6,LAT,Williams,7,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,369.5,9
Lewis Hamilton,44,HAM,Mercedes,369.5,8
Valtteri Bottas,77,BOT,Mercedes,218,1
Sergio Pérez,11,PER,Red Bull,190,1
Charles Leclerc,16,LEC,Ferrari,158,0
Lando Norris,4,NOR,McLaren,154,0
Carlos Sainz,55,SAI,Ferrari,149.5,0
Daniel Ricciardo,3,RIC,McLaren,115,1
Pierre Gasly,10,GAS,AlphaTauri,100,0
Fernando Alonso,14,ALO,Alpine F1 Team,77,0
Esteban Ocon,31,OCO,Alpine F1 Team,72,1
Sebastian Vettel,5,VET,Aston Martin,43,0
Lance Stroll,18,STR,Aston Martin,34,0
Yuki Tsunoda,22,TSU,AlphaTauri,20,0
George Russell,63,RUS,Williams,16,0
Kimi Räikkönen,7,RAI,Alfa Romeo,10,0
Nicholas Latifi,6,LAT,Williams,7,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,3,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Max Verstappen,33,VER,Red Bull,395.5,10
Lewis Hamilton,44,HAM,Mercedes,387.5,8
Valtteri Bottas,77,BOT,Mercedes,226,1
Sergio Pérez,11,PER,Red Bull,190,1
Carlos Sainz,55,SAI,Ferrari,164.5,0
Lando Norris,4,NOR,McLaren,160,0
Charles Leclerc,16,LEC,Ferrari,159,0
Daniel Ricciardo,3,RIC,McLaren,115,1
Pierre Gasly,10,GAS,AlphaTauri,110,0
Fernando Alonso,14,ALO,Alpine F1 Team,81,0
Esteban Ocon,31,OCO,Alpine F1 Team,74,1
Sebastian Vettel,5,VET,Aston Martin,43,0
Lance Stroll,18,STR,Aston Martin,34,0
Yuki Tsunoda,22,TSU,AlphaTauri,32,0
George Russell,63,RUS,Williams,16,0
Kimi Räikkönen,7,RAI,Alfa Romeo,10,0
Nicholas Latifi,6,LAT,Williams,7,0
Antonio Giovinazzi,99,GIO,Alfa Romeo,3,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Robert Kubica,88,KUB,Alfa Romeo,0,0
Nikita Mazepin,9,MAZ,Haas F1 Team,0,0
Charles Leclerc,16,LEC,Ferrari,26,1
Carlos Sainz,55,SAI,Ferrari,18,0
Lewis Hamilton,44,HAM,Mercedes,15,0
George Russell,63,RUS,Mercedes,12,0
Kevin Magnussen,20,MAG,Haas F1 Team,10,0
Valtteri Bottas,77,BOT,Alfa Romeo,8,0
Esteban Ocon,31,OCO,Alpine F1 Team,6,0
Yuki Tsunoda,22,TSU,AlphaTauri,4,0
Fernando Alonso,14,ALO,Alpine F1 Team,2,0
Guanyu Zhou,24,ZHO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Lance Stroll,18,STR,Aston Martin,0,0
Alexander Albon,23,ALB,Williams,0,0
Daniel Ricciardo,3,RIC,McLaren,0,0
Lando Norris,4,NOR,McLaren,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Nico Hülkenberg,27,HUL,Aston Martin,0,0
Sergio Pérez,11,PER,Red Bull,0,0
Max Verstappen,33,VER,Red Bull,0,0
Pierre Gasly,10,GAS,AlphaTauri,0,0
Charles Leclerc,16,LEC,Ferrari,45,1
Carlos Sainz,55,SAI,Ferrari,33,0
Max Verstappen,33,VER,Red Bull,25,1
George Russell,63,RUS,Mercedes,22,0
Lewis Hamilton,44,HAM,Mercedes,16,0
Esteban Ocon,31,OCO,Alpine F1 Team,14,0
Sergio Pérez,11,PER,Red Bull,12,0
Kevin Magnussen,20,MAG,Haas F1 Team,12,0
Valtteri Bottas,77,BOT,Alfa Romeo,8,0
Lando Norris,4,NOR,McLaren,6,0
Yuki Tsunoda,22,TSU,AlphaTauri,4,0
Pierre Gasly,10,GAS,AlphaTauri,4,0
Fernando Alonso,14,ALO,Alpine F1 Team,2,0
Guanyu Zhou,24,ZHO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Lance Stroll,18,STR,Aston Martin,0,0
Nico Hülkenberg,27,HUL,Aston Martin,0,0
Alexander Albon,23,ALB,Williams,0,0
Daniel Ricciardo,3,RIC,McLaren,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Charles Leclerc,16,LEC,Ferrari,71,2
George Russell,63,RUS,Mercedes,37,0
Carlos Sainz,55,SAI,Ferrari,33,0
Sergio Pérez,11,PER,Red Bull,30,0
Lewis Hamilton,44,HAM,Mercedes,28,0
Max Verstappen,33,VER,Red Bull,25,1
Esteban Ocon,31,OCO,Alpine F1 Team,20,0
Lando Norris,4,NOR,McLaren,16,0
Kevin Magnussen,20,MAG,Haas F1 Team,12,0
Valtteri Bottas,77,BOT,Alfa Romeo,12,0
Daniel Ricciardo,3,RIC,McLaren,8,0
Pierre Gasly,10,GAS,AlphaTauri,6,0
Yuki Tsunoda,22,TSU,AlphaTauri,4,0
Fernando Alonso,14,ALO,Alpine F1 Team,2,0
Guanyu Zhou,24,ZHO,Alfa Romeo,1,0
Alexander Albon,23,ALB,Williams,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Lance Stroll,18,STR,Aston Martin,0,0
Nico Hülkenberg,27,HUL,Aston Martin,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Sebastian Vettel,5,VET,Aston Martin,0,0
Charles Leclerc,16,LEC,Ferrari,86,2
Max Verstappen,33,VER,Red Bull,59,2
Sergio Pérez,11,PER,Red Bull,54,0
George Russell,63,RUS,Mercedes,49,0
Carlos Sainz,55,SAI,Ferrari,38,0
Lando Norris,4,NOR,McLaren,35,0
Lewis Hamilton,44,HAM,Mercedes,28,0
Valtteri Bottas,77,BOT,Alfa Romeo,24,0
Esteban Ocon,31,OCO,Alpine F1 Team,20,0
Kevin Magnussen,20,MAG,Haas F1 Team,15,0
Daniel Ricciardo,3,RIC,McLaren,11,0
Yuki Tsunoda,22,TSU,AlphaTauri,10,0
Pierre Gasly,10,GAS,AlphaTauri,6,0
Sebastian Vettel,5,VET,Aston Martin,4,0
Fernando Alonso,14,ALO,Alpine F1 Team,2,0
Guanyu Zhou,24,ZHO,Alfa Romeo,1,0
Alexander Albon,23,ALB,Williams,1,0
Lance Stroll,18,STR,Aston Martin,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nico Hülkenberg,27,HUL,Aston Martin,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Charles Leclerc,16,LEC,Ferrari,104,2
Max Verstappen,33,VER,Red Bull,85,3
Sergio Pérez,11,PER,Red Bull,66,0
George Russell,63,RUS,Mercedes,59,0
Carlos Sainz,55,SAI,Ferrari,53,0
Lewis Hamilton,44,HAM,Mercedes,36,0
Lando Norris,4,NOR,McLaren,35,0
Valtteri Bottas,77,BOT,Alfa Romeo,30,0
Esteban Ocon,31,OCO,Alpine F1 Team,24,0
Kevin Magnussen,20,MAG,Haas F1 Team,15,0
Daniel Ricciardo,3,RIC,McLaren,11,0
Yuki Tsunoda,22,TSU,AlphaTauri,10,0
Pierre Gasly,10,GAS,AlphaTauri,6,0
Sebastian Vettel,5,VET,Aston Martin,4,0
Alexander Albon,23,ALB,Williams,3,0
Fernando Alonso,14,ALO,Alpine F1 Team,2,0
Lance Stroll,18,STR,Aston Martin,2,0
Guanyu Zhou,24,ZHO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nico Hülkenberg,27,HUL,Aston Martin,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Max Verstappen,33,VER,Red Bull,110,4
Charles Leclerc,16,LEC,Ferrari,104,2
Sergio Pérez,11,PER,Red Bull,85,0
George Russell,63,RUS,Mercedes,74,0
Carlos Sainz,55,SAI,Ferrari,65,0
Lewis Hamilton,44,HAM,Mercedes,46,0
Lando Norris,4,NOR,McLaren,39,0
Valtteri Bottas,77,BOT,Alfa Romeo,38,0
Esteban Ocon,31,OCO,Alpine F1 Team,30,0
Kevin Magnussen,20,MAG,Haas F1 Team,15,0
Yuki Tsunoda,22,TSU,AlphaTauri,11,0
Daniel Ricciardo,3,RIC,McLaren,11,0
Pierre Gasly,10,GAS,AlphaTauri,6,0
Sebastian Vettel,5,VET,Aston Martin,4,0
Fernando Alonso,14,ALO,Alpine F1 Team,4,0
Alexander Albon,23,ALB,Williams,3,0
Lance Stroll,18,STR,Aston Martin,2,0
Guanyu Zhou,24,ZHO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nico Hülkenberg,27,HUL,Aston Martin,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Max Verstappen,33,VER,Red Bull,125,4
Charles Leclerc,16,LEC,Ferrari,116,2
Sergio Pérez,11,PER,Red Bull,110,1
George Russell,63,RUS,Mercedes,84,0
Carlos Sainz,55,SAI,Ferrari,83,0
Lewis Hamilton,44,HAM,Mercedes,50,0
Lando Norris,4,NOR,McLaren,48,0
Valtteri Bottas,77,BOT,Alfa Romeo,40,0
Esteban Ocon,31,OCO,Alpine F1 Team,30,0
Kevin Magnussen,20,MAG,Haas F1 Team,15,0
Daniel Ricciardo,3,RIC,McLaren,11,0
Yuki Tsunoda,22,TSU,AlphaTauri,11,0
Fernando Alonso,14,ALO,Alpine F1 Team,10,0
Pierre Gasly,10,GAS,AlphaTauri,6,0
Sebastian Vettel,5,VET,Aston Martin,5,0
Alexander Albon,23,ALB,Williams,3,0
Lance Stroll,18,STR,Aston Martin,2,0
Guanyu Zhou,24,ZHO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nico Hülkenberg,27,HUL,Aston Martin,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Max Verstappen,33,VER,Red Bull,150,5
Sergio Pérez,11,PER,Red Bull,129,1
Charles Leclerc,16,LEC,Ferrari,116,2
George Russell,63,RUS,Mercedes,99,0
Carlos Sainz,55,SAI,Ferrari,83,0
Lewis Hamilton,44,HAM,Mercedes,62,0
Lando Norris,4,NOR,McLaren,50,0
Valtteri Bottas,77,BOT,Alfa Romeo,40,0
Esteban Ocon,31,OCO,Alpine F1 Team,31,0
Pierre Gasly,10,GAS,AlphaTauri,16,0
Fernando Alonso,14,ALO,Alpine F1 Team,16,0
Kevin Magnussen,20,MAG,Haas F1 Team,15,0
Daniel Ricciardo,3,RIC,McLaren,15,0
Sebastian Vettel,5,VET,Aston Martin,13,0
Yuki Tsunoda,22,TSU,AlphaTauri,11,0
Alexander Albon,23,ALB,Williams,3,0
Lance Stroll,18,STR,Aston Martin,2,0
Guanyu Zhou,24,ZHO,Alfa Romeo,1,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nico Hülkenberg,27,HUL,Aston Martin,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Max Verstappen,33,VER,Red Bull,175,6
Sergio Pérez,11,PER,Red Bull,129,1
Charles Leclerc,16,LEC,Ferrari,126,2
George Russell,63,RUS,Mercedes,111,0
Carlos Sainz,55,SAI,Ferrari,102,0
Lewis Hamilton,44,HAM,Mercedes,77,0
Lando Norris,4,NOR,McLaren,50,0
Valtteri Bottas,77,BOT,Alfa Romeo,46,0
Esteban Ocon,31,OCO,Alpine F1 Team,39,0
Fernando Alonso,14,ALO,Alpine F1 Team,18,0
Pierre Gasly,10,GAS,AlphaTauri,16,0
Kevin Magnussen,20,MAG,Haas F1 Team,15,0
Daniel Ricciardo,3,RIC,McLaren,15,0
Sebastian Vettel,5,VET,Aston Martin,13,0
Yuki Tsunoda,22,TSU,AlphaTauri,11,0
Guanyu Zhou,24,ZHO,Alfa Romeo,5,0
Alexander Albon,23,ALB,Williams,3,0
Lance Stroll,18,STR,Aston Martin,3,0
Mick Schumacher,47,MSC,Haas F1 Team,0,0
Nico Hülkenberg,27,HUL,Aston Martin,0,0
Nicholas Latifi,6,LAT,Williams,0,0
Max Verstappen,33,VER,Red Bull,181,6
Sergio Pérez,11,PER,Red Bull,147,1
Charles Leclerc,16,LEC,Ferrari,138,2
Carlos Sainz,55,SAI,Ferrari,127,1
George Russell,63,RUS,Mercedes,111,0
Lewis Hamilton,44,HAM,Mercedes,93,0
Lando Norris,4,NOR,McLaren,58,0
Valtteri Bottas,77,BOT,Alfa Romeo,46,0
Esteban Ocon,31,OCO,Alpine F1 Team,39,0
